IP,label,loc
173.208.126.45,"AS30633 Leaseweb USA, Inc.","38.7493,-77.4719"
207.244.69.244,"AS30633 Leaseweb USA, Inc.","42.362,-71.0636"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
96.87.9.185,"AS7922 Comcast Cable Communications, LLC","34.8803,-87.7424"
96.110.34.53,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
68.86.86.86,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
68.86.83.181,"AS7922 Comcast Cable Communications, LLC","37.2716,-121.806"
96.110.37.65,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
96.110.36.130,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
50.242.150.106,"AS7922 Comcast Cable Communications, LLC","34.7346,-92.273"
18.238.4.118,"AS16509 Amazon.com, Inc.","39.9526,-75.1652"
37.19.199.157,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.172,AS60068 Datacamp Limited,"50.0883,14.4124"
75.149.231.93,"AS7922 Comcast Cable Communications, LLC","40.6487,-111.9682"
96.110.34.49,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
68.86.86.82,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
68.86.83.181,"AS7922 Comcast Cable Communications, LLC","37.2716,-121.806"
96.110.37.65,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
96.110.36.130,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
50.242.150.106,"AS7922 Comcast Cable Communications, LLC","34.7346,-92.273"
13.224.214.22,"AS16509 Amazon.com, Inc.","39.0438,-77.4874"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
45.134.215.17,AS60068 Datacamp Limited,"50.0883,14.4124"
162.158.156.5,"AS13335 Cloudflare, Inc.","40.7356,-74.1723"
